City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,275.92,93,100,3.09,US,1704765817
1,bethel,41.3712,-73.414,272.96,81,0,1.54,US,1704765798
2,bilibino,68.0546,166.4372,242.4,96,100,1.47,RU,1704766077
3,whitehorse,60.7161,-135.0538,255.38,99,50,0.63,CA,1704766078
4,ushuaia,-54.8,-68.3,278.96,70,40,10.29,AR,1704766079
5,west island,-12.1568,96.8225,302.14,79,7,7.2,CC,1704766080
6,iqaluit,63.7506,-68.5145,249.09,63,65,8.05,CA,1704766081
7,adamstown,-25.066,-130.1015,297.31,85,100,5.28,PN,1704766082
8,nar'yan-mar,67.6713,53.087,248.77,100,95,2.24,RU,1704766083
9,pullman,46.7313,-117.1796,273.62,91,100,6.69,US,1704766085
10,waitangi,-43.9535,-176.5597,290.83,90,100,8.97,NZ,1704766086
11,new plymouth,-39.0667,174.0833,293.88,83,15,3.55,NZ,1704766087
12,tiksi,71.6872,128.8694,239.25,96,100,5.18,RU,1704766089
13,vilyuchinsk,52.9306,158.4028,256.3,76,55,2.1,RU,1704765645
14,flying fish cove,-10.4217,105.6791,298.97,94,75,1.54,CX,1704766093
15,constantia,44.1833,28.65,267.53,79,100,9.94,RO,1704766094
16,kapa'a,22.0752,-159.319,297.33,81,75,7.72,US,1704766095
17,port-aux-francais,-49.35,70.2167,278.04,75,82,9.2,TF,1704766098
18,grand baie,-20.0182,57.5802,298.4,89,86,3.86,MU,1704766099
19,tangalle,6.024,80.7911,296.35,97,100,0.97,LK,1704766101
20,yellowknife,62.456,-114.3525,240.05,91,91,2.68,CA,1704766102
21,rosarito,32.3333,-117.0333,286.0,31,0,3.54,MX,1704766104
22,grytviken,-54.2811,-36.5092,277.22,88,73,1.18,GS,1704766105
23,papatowai,-46.5619,169.4708,286.82,83,100,3.11,NZ,1704766106
24,kerema,-7.9631,145.7785,303.27,69,99,2.94,PG,1704766106
25,pruzhany,52.5567,24.4644,261.02,85,5,2.48,BY,1704766108
26,lebu,-37.6167,-73.65,286.7,72,0,8.11,CL,1704766109
27,lompoc,34.6391,-120.4579,285.25,71,0,4.12,US,1704766111
28,dunedin,-45.8742,170.5036,285.82,91,100,1.79,NZ,1704766112
29,river falls,44.8614,-92.6238,272.88,77,100,4.68,US,1704766113
30,hadibu,12.65,54.0333,296.69,74,78,8.5,YE,1704766115
31,inarajan village,13.2736,144.7484,303.23,79,43,8.82,GU,1704766116
32,hermanus,-34.4187,19.2345,290.13,88,6,4.48,ZA,1704766117
33,blackmans bay,-43.0167,147.3167,294.55,55,0,0.89,AU,1704766118
34,wailua homesteads,22.0669,-159.378,296.59,81,75,7.72,US,1704766119
35,college,64.8569,-147.8028,262.3,82,75,2.06,US,1704766120
36,dudinka,69.4058,86.1778,254.64,80,100,3.58,RU,1704766122
37,jiwani,25.05,61.7417,293.06,34,0,2.28,PK,1704766123
38,beyneu,45.3167,55.2,274.36,82,100,7.02,KZ,1704766124
39,deqen,29.9618,90.7188,269.07,14,0,0.71,CN,1704766125
40,whakatane,-37.9585,176.9854,300.31,76,59,2.68,NZ,1704766126
41,bredasdorp,-34.5322,20.0403,289.98,93,22,2.62,ZA,1704766127
42,ilulissat,69.2167,-51.1,266.16,63,100,12.35,GL,1704766127
43,fort st. john,56.2499,-120.8529,253.09,84,100,4.12,CA,1704765932
44,carnarvon,-24.8667,113.6333,299.09,61,0,7.79,AU,1704766129
45,mariental,-24.6333,17.9667,298.74,24,18,6.07,NA,1704766131
46,la sarre,48.8002,-79.1996,255.93,97,22,1.16,CA,1704766132
47,edinburgh of the seven seas,-37.0676,-12.3116,291.42,97,100,12.01,SH,1704766133
48,dakoro,14.5106,6.765,291.5,16,0,4.53,NE,1704766134
49,poronaysk,49.2167,143.1167,254.68,84,11,1.57,RU,1704766135
50,puerto ayora,-0.7393,-90.3518,298.46,96,100,1.79,EC,1704766136
51,puerto natales,-51.7236,-72.4875,277.81,92,100,4.36,CL,1704766137
52,huanuni,-18.2667,-66.85,282.89,38,51,4.82,BO,1704766139
53,cabo san lucas,22.8909,-109.9124,294.13,59,75,2.06,MX,1704765931
54,sal rei,16.1833,-22.9167,296.29,73,100,5.33,CV,1704766141
55,kokopo,-4.352,152.2633,302.93,68,96,2.74,PG,1704766143
56,margaret river,-33.95,115.0667,295.16,55,4,6.54,AU,1704766144
57,longyearbyen,78.2186,15.6401,260.06,85,75,7.2,SJ,1704766145
58,murzuq,25.9155,13.9184,283.98,30,0,4.27,LY,1704766146
59,kabalo,-6.05,26.9167,293.17,97,100,0.43,CD,1704766147
60,port mathurin,-19.6833,63.4167,300.77,65,1,1.65,MU,1704766148
61,pisco,-13.7,-76.2167,295.38,83,0,7.72,PE,1704766149
62,remire-montjoly,4.9167,-52.2667,299.17,94,75,2.06,GF,1704766150
63,kirakira,-10.4544,161.9205,302.44,78,100,0.95,SB,1704766152
64,talnakh,69.4865,88.3972,252.36,83,100,2.29,RU,1704766153
65,albany,42.6001,-73.9662,274.0,89,84,2.62,US,1704766154
66,celestun,20.8667,-90.4,300.28,58,87,7.42,MX,1704766154
67,stanley,54.868,-1.6985,275.25,74,75,3.6,GB,1704766155
68,bhopal,23.2667,77.4,289.28,100,24,4.12,IN,1704766157
69,konarka,19.9,86.1167,290.37,73,0,3.52,IN,1704766158
70,yanam,16.7333,82.2167,296.51,77,15,3.64,IN,1704766160
71,kapuskasing,49.4169,-82.4331,257.0,95,40,1.21,CA,1704766161
72,nuuk,64.1835,-51.7216,271.49,74,100,1.54,GL,1704765960
73,georgetown,5.4112,100.3354,302.01,89,20,2.06,MY,1704766163
74,illizi,26.4833,8.4667,282.48,28,0,0.86,DZ,1704766164
75,hamilton,39.1834,-84.5333,276.91,75,40,5.66,US,1704766165
76,punta arenas,-53.15,-70.9167,279.21,65,40,9.26,CL,1704766166
77,sirte,31.2089,16.5887,286.45,51,0,9.83,LY,1704766167
78,atafu village,-8.5421,-172.5159,302.45,71,3,4.51,TK,1704766168
79,invercargill,-46.4,168.35,290.38,82,100,4.47,NZ,1704766169
80,kone,-21.0595,164.8658,302.2,65,97,3.44,NC,1704766170
81,fale old settlement,-9.3852,-171.2468,302.39,72,2,3.91,TK,1704766171
82,benguela,-12.5763,13.4055,297.95,81,99,0.91,AO,1704766172
83,sierra grande,-41.606,-65.3557,291.94,32,3,4.01,AR,1704766173
84,freetown,8.484,-13.2299,298.69,82,29,1.47,SL,1704766174
85,afaahiti,-17.75,-149.2833,303.08,85,47,6.58,PF,1704766174
86,qaqortoq,60.7167,-46.0333,271.45,76,70,4.24,GL,1704766176
87,harstad,68.799,16.5293,277.94,98,100,20.12,NO,1704766177
88,yashkul',46.1711,45.3435,272.74,90,100,5.27,RU,1704766178
89,berezovyy,51.6667,135.7,250.48,72,100,0.43,RU,1704766179
90,zonguldak,41.25,31.8333,277.56,97,100,1.81,TR,1704766180
91,runing,33.0011,114.3542,282.74,61,100,5.11,CN,1704766181
92,buka,40.8108,69.1986,279.71,72,99,1.19,UZ,1704766182
93,kingston,17.997,-76.7936,300.68,78,20,8.23,JM,1704765985
94,gorgoram,12.6398,10.7039,291.87,14,5,3.58,NG,1704766184
95,anadyr,64.75,177.4833,254.43,84,75,12.0,RU,1704766185
96,tazovsky,67.4667,78.7,253.0,98,100,3.95,RU,1704766186
97,horasan,40.0458,42.1728,272.83,85,100,1.11,TR,1704766187
98,cabedelo,-6.9811,-34.8339,300.52,78,58,4.95,BR,1704766188
99,nova sintra,14.8667,-24.7167,294.52,69,100,4.63,CV,1704766189
100,kavaratti,10.5669,72.642,300.78,74,100,2.6,IN,1704766190
101,port lincoln,-34.7333,135.8667,294.0,60,3,2.95,AU,1704766191
102,hawaiian paradise park,19.5933,-154.9731,300.88,77,40,8.23,US,1704766192
103,port elizabeth,-33.918,25.5701,292.21,93,92,1.34,ZA,1704766194
104,klyuchi,52.2667,79.1667,260.06,81,61,8.18,RU,1704766195
105,khorinsk,52.1657,109.7726,249.0,100,93,0.29,RU,1704766196
106,enewetak,11.3474,162.3373,300.35,74,99,8.64,MH,1704766197
107,gadzhiyevo,69.2551,33.3362,264.43,90,100,2.88,RU,1704766198
108,hilo,19.7297,-155.09,301.0,70,40,8.23,US,1704766199
109,kranjska gora,46.4839,13.7894,271.71,89,66,1.98,SI,1704766200
110,vernon,50.2581,-119.2691,272.38,82,100,1.54,CA,1704765948
111,lihue,21.9789,-159.3672,296.92,81,75,7.72,US,1704765918
112,beloyarskiy,63.7119,66.6722,242.59,100,78,1.79,RU,1704766204
113,axim,4.8699,-2.2405,299.99,85,18,2.99,GH,1704766205
114,st. john's,47.5649,-52.7093,272.02,89,100,9.77,CA,1704766008
115,sao paulo de olivenca,-3.3783,-68.8725,298.72,87,85,0.91,BR,1704766207
116,tazacorte,28.629,-17.9293,293.79,64,0,3.6,ES,1704766208
117,mahina,-17.5065,-149.489,304.02,70,40,3.09,PF,1704766209
118,popondetta,-8.7537,148.2534,306.95,51,26,2.78,PG,1704766210
119,bayanaul,50.7889,75.6956,258.04,75,1,8.86,KZ,1704766211
120,rotenburg,53.1167,9.4,268.03,86,5,3.25,DE,1704766212
121,al ghayzah,16.2079,52.176,293.04,49,12,3.0,YE,1704766213
122,utrik,11.2278,169.8474,299.99,73,100,8.73,MH,1704766214
123,craig,40.5153,-107.5464,264.94,79,100,2.06,US,1704766215
124,san andres,12.5847,-81.7006,301.16,83,40,5.14,CO,1704766216
125,de aar,-30.6497,24.0123,291.0,75,0,3.91,ZA,1704766217
126,port hedland,-20.3167,118.5667,310.18,26,1,3.6,AU,1704766218
127,olonkinbyen,70.9221,-8.7187,272.14,96,100,5.05,SJ,1704766219
128,vilyuysk,63.7553,121.6247,229.82,100,100,0.89,RU,1704766220
129,mushie,-3.0167,16.9,295.44,90,100,0.94,CD,1704766222
130,shubarkuduk,49.1447,56.4872,262.63,72,100,5.7,KZ,1704766223
131,fort mcmurray,56.7268,-111.381,251.88,77,100,2.06,CA,1704766225
132,el limon,10.3059,-67.6321,294.98,85,61,1.81,VE,1704766226
133,velizh,55.6056,31.1967,263.17,95,99,3.05,RU,1704766228
134,muromtsevo,56.3724,75.2418,255.91,93,100,6.49,RU,1704766230
135,korla,41.7597,86.1469,266.97,69,24,1.75,CN,1704766231
136,puerto armuelles,8.2833,-82.8667,302.14,68,69,0.45,PA,1704766232
137,lethbridge,49.7,-112.8186,267.95,53,100,4.71,CA,1704766234
138,macau,22.2006,113.5461,294.1,78,20,1.03,MO,1704766236
139,zouerate,22.7187,-12.4521,291.0,32,97,3.4,MR,1704766237
140,ouro preto do oeste,-10.7481,-62.2158,298.7,75,100,1.46,BR,1704766094
141,hirara,24.8,125.2833,292.3,100,75,5.66,JP,1704766240
142,gobabis,-22.45,18.9667,292.21,76,100,7.78,NA,1704766241
143,selfoss,63.9331,-20.9971,280.4,88,100,12.37,IS,1704766243
144,vorgashor,67.5833,63.95,244.51,100,98,2.27,RU,1704766244
145,north lakhimpur,27.2333,94.1167,287.2,82,0,0.0,IN,1704766245
146,klaksvik,62.2266,-6.589,280.66,75,100,5.1,FO,1704766245
147,al khawr,25.7667,51.3167,289.97,70,0,3.01,QA,1704766246
148,ujae,8.9322,165.7642,300.38,68,99,8.89,MH,1704766247
149,mgandu,-5.95,34.1333,290.36,94,100,1.01,TZ,1704766248
150,keflavik,64.0049,-22.5624,280.39,100,100,16.46,IS,1704766249
151,thongwa,16.7619,96.5278,293.24,45,6,2.4,MM,1704766250
152,lancaster,40.2504,-76.2499,274.13,85,0,1.54,US,1704766029
153,avarua,-21.2078,-159.775,301.18,78,40,7.72,CK,1704766253
154,olinda,-8.0089,-34.8553,301.0,78,75,3.6,BR,1704766253
155,ust-nera,64.5667,143.2,230.47,98,96,2.05,RU,1704766255
156,galliano,29.4422,-90.2992,295.15,94,100,6.17,US,1704766256
157,manavalakurichi,8.1333,77.3,297.84,89,100,4.0,IN,1704766257
158,codrington,-38.2667,141.9667,293.14,74,87,3.79,AU,1704766258
159,schwaz,47.3391,11.7336,267.61,96,49,1.74,AT,1704766260
160,xining,36.6167,101.7667,268.86,27,0,1.07,CN,1704766261
161,kargopol',61.5071,38.9456,260.4,95,100,3.0,RU,1704766262
162,vila franca do campo,37.7167,-25.4333,290.38,84,96,3.41,PT,1704766263
163,namibe,-15.1961,12.1522,295.47,86,56,1.16,AO,1704766264
164,kingsbridge,50.2845,-3.7764,275.6,82,59,8.34,GB,1704766266
165,portland,45.5234,-122.6762,283.4,93,100,6.26,US,1704766197
166,boulsa,12.6675,-0.5758,296.32,14,0,3.68,BF,1704766268
167,murghob,38.1702,73.9667,258.65,51,0,2.09,TJ,1704766270
168,ugoofaaru,5.6667,73.0,300.62,77,99,4.87,MV,1704766271
169,isafjordur,66.0755,-23.124,278.12,90,100,5.71,IS,1704766274
170,malyye derbety,47.9547,44.6808,264.52,95,100,6.06,RU,1704766275
171,thompson,55.7435,-97.8558,252.61,99,100,1.44,CA,1704766140
172,tartagal,-22.5164,-63.8013,301.88,69,100,0.88,AR,1704766278
173,angaur state,6.906,134.13,302.03,75,100,8.48,PW,1704766279
174,bakchar,57.0186,82.0711,256.09,89,100,7.07,RU,1704766281
175,saipan,15.1355,145.701,303.54,70,20,7.72,MP,1704766282
176,champerico,14.3,-91.9167,299.28,70,7,4.4,GT,1704766283
177,manokwari,-0.8667,134.0833,301.55,76,100,4.25,ID,1704766284
178,emerald,-23.5333,148.1667,303.34,61,100,4.28,AU,1704766286
179,palikir - national government center,6.9248,158.1611,303.62,70,75,6.17,FM,1704766287
180,vredendal,-31.6683,18.5012,288.93,85,91,1.19,ZA,1704766288
181,northam,51.0333,-4.2167,275.03,83,24,6.56,GB,1704766290
182,san patricio,28.017,-97.5169,291.57,24,0,9.89,US,1704766291
183,suez,29.9737,32.5263,287.93,30,100,3.61,EG,1704766292
184,guerrero negro,27.9769,-114.0611,287.68,29,8,8.9,MX,1704766294
185,suva,-18.1416,178.4415,304.86,66,75,5.14,FJ,1704766043
186,nueva gerona,21.8833,-82.8,297.54,83,34,5.34,CU,1704766299
187,ulladulla,-35.35,150.4667,295.98,70,64,4.35,AU,1704766300
188,aasiaat,68.7098,-52.8699,257.25,86,100,1.65,GL,1704766302
189,chonchi,-42.6128,-73.8092,284.88,90,23,1.15,CL,1704766303
190,umm as sahik,26.6536,49.9164,285.25,74,0,2.58,SA,1704766305
191,severnoye,56.3491,78.3619,254.61,91,100,8.11,RU,1704766306
192,lensk,60.7253,114.9278,248.3,99,100,1.6,RU,1704766308
193,mount pearl,47.5166,-52.7813,271.56,89,100,9.77,CA,1704766309
194,mount isa,-20.7333,139.5,302.02,74,40,3.09,AU,1704766312
195,grand falls-windsor,48.9332,-55.6649,268.43,80,100,2.24,CA,1704766313
196,sambava,-14.2667,50.1667,298.62,89,100,2.84,MG,1704766314
197,kas,36.2018,29.6377,287.39,86,84,2.07,TR,1704766315
198,deulgaon raja,20.0167,76.0333,290.96,46,46,3.24,IN,1704766316
199,bom jesus,-9.0744,-44.3586,297.93,78,75,0.32,BR,1704766179
200,boa vista,2.8197,-60.6733,302.14,51,0,4.12,BR,1704766317
201,swakopmund,-22.6833,14.5333,289.6,92,30,2.56,NA,1704766318
202,novoural'sk,57.2439,60.0839,251.25,95,100,5.0,RU,1704766319
203,peskovka,59.0448,52.3606,257.74,94,100,3.79,RU,1704766320
204,charters towers,-20.1,146.2667,305.46,47,100,3.86,AU,1704766321
205,santa cruz,-17.8,-63.1667,300.77,69,100,4.18,BO,1704766322
206,mogadishu,2.0371,45.3438,297.28,78,99,8.98,SO,1704766098
207,juan griego,11.0817,-63.9655,298.65,84,73,5.62,VE,1704766324
208,nongstoin,25.5167,91.2667,283.68,59,0,0.93,IN,1704766325
209,kodiak,57.79,-152.4072,274.88,69,75,4.12,US,1704765804
210,durango,24.8333,-104.8333,283.97,32,79,10.64,MX,1704766198
211,nikolayevsk-on-amure,53.1406,140.73,251.61,79,10,2.39,RU,1704766329
212,grand-bassam,5.2118,-3.7388,299.13,84,4,3.26,CI,1704766330
213,severo-yeniseyskiy,60.3725,93.0408,266.8,89,99,4.47,RU,1704766331
214,la foa,-21.7108,165.8276,301.7,67,99,2.98,NC,1704766332
215,jayapura,-2.5333,140.7,299.81,81,100,0.88,ID,1704766333
216,kitimat,54.0524,-128.6534,272.42,65,100,2.24,CA,1704766334
217,weno,7.4515,151.8468,303.12,70,100,4.63,FM,1704766335
218,ouadda,8.0777,22.4007,291.13,26,100,1.79,CF,1704766336
219,badiyah,22.45,58.8,288.74,37,0,0.93,OM,1704766338
220,olyokminsk,60.3736,120.4264,238.35,100,93,0.97,RU,1704766340
221,kiuruvesi,63.65,26.6167,272.13,91,94,4.54,FI,1704766341
222,bantogon,6.5333,124.0333,301.67,70,56,2.04,PH,1704766342
223,n'zeto,-7.2312,12.8666,298.25,79,28,0.68,AO,1704766343
224,fiambala,-27.6871,-67.6149,297.18,67,2,3.07,AR,1704766344
225,wynyard,-41.0,145.7167,291.6,59,0,3.88,AU,1704766346
226,walvis bay,-22.9575,14.5053,289.28,92,16,2.6,NA,1704766347
227,neftcala,39.3742,49.2472,283.52,66,41,2.38,AZ,1704766348
228,ribeira grande,38.5167,-28.7,290.8,89,100,10.28,PT,1704766349
229,tadine,-21.55,167.8833,302.04,66,6,2.53,NC,1704766350
230,sao vicente,-23.9631,-46.3919,301.63,26,0,2.4,BR,1704766351
231,galveston,29.3669,-94.9669,285.36,85,100,7.2,US,1704766212
232,filadelfia,39.9523,-75.1638,275.82,77,20,0.0,US,1704766100
233,mantua,45.1667,10.7833,280.57,84,94,1.79,IT,1704766354
234,puerto san jose,13.9256,-90.8244,298.02,73,2,3.19,GT,1704766356
235,zinjibar,13.1287,45.3807,296.08,67,6,6.3,YE,1704766357
236,san luis de la loma,17.2706,-100.8939,297.67,78,3,1.84,MX,1704766358
237,igrim,63.1906,64.4162,244.09,100,61,1.18,RU,1704766359
238,bollnas,61.3482,16.3946,275.82,82,100,4.6,SE,1704766360
239,negotin,44.2264,22.5308,273.2,98,100,1.86,RS,1704766361
240,maragogi,-9.0122,-35.2225,299.75,81,43,4.39,BR,1704766069
241,iskateley,67.6803,53.1512,248.72,100,97,2.24,RU,1704766363
242,gurupa,-1.405,-51.64,297.02,97,100,1.27,BR,1704766364
243,harnosand,62.6323,17.9379,276.15,79,99,8.1,SE,1704766365
244,la'ie,21.6477,-157.9253,297.13,70,42,8.97,US,1704766366
245,alofi,-19.0595,-169.9187,302.09,70,75,3.09,NU,1704766367
246,nabire,-3.3667,135.4833,301.56,80,43,2.03,ID,1704766368
247,tandalti,13.0167,31.8667,294.74,33,25,4.58,SD,1704766369
248,broome,42.2506,-75.833,274.1,93,100,0.77,US,1704766371
249,palangkaraya,-2.2,113.8333,302.49,72,100,0.6,ID,1704766372
250,san antonio de pale,-1.4014,5.6325,300.29,80,46,3.74,GQ,1704766373
251,magadan,59.5667,150.8,250.52,72,100,1.66,RU,1704766374
252,luderitz,-26.6481,15.1594,288.92,87,26,7.81,NA,1704766375
253,bodaybo,57.8506,114.1933,246.12,98,95,0.91,RU,1704766376
254,lautoka,-17.6167,177.4667,305.07,62,75,5.14,FJ,1704766377
255,lisakovsk,52.5369,62.4936,244.51,96,50,2.11,KZ,1704766379
256,happy valley-goose bay,53.3168,-60.3315,257.32,51,20,8.75,CA,1704766380
257,masina,-4.3836,15.3914,299.34,97,100,0.29,CD,1704766381
258,polyarnyy,69.1989,33.4478,264.97,88,100,3.11,RU,1704766388
259,richards bay,-28.783,32.0377,294.49,95,100,1.94,ZA,1704766389
260,vila velha,-20.3297,-40.2925,300.12,88,75,4.63,BR,1704766386
261,enriquillo,17.9,-71.2333,297.83,87,3,5.97,DO,1704766392
262,fortuna,40.5982,-124.1573,284.25,92,100,5.66,US,1704766393
263,ghadamis,30.1337,9.5007,281.9,43,0,2.47,LY,1704766394
264,tulun,54.5611,100.5792,260.17,90,100,1.99,RU,1704766395
265,bonthe,7.5264,-12.505,299.7,87,96,2.84,SL,1704766397
266,cambria,35.5641,-121.0808,284.29,71,8,2.24,US,1704766399
267,pandan,14.0453,124.1694,300.38,86,48,4.17,PH,1704766400
268,lerwick,60.1545,-1.1494,278.15,75,100,1.0,GB,1704766401
269,kovdor,67.5662,30.4758,264.97,96,100,1.62,RU,1704766402
270,fisterra,42.9049,-9.2629,278.01,82,100,2.98,ES,1704766403
271,chegdomyn,51.1167,133.0167,246.85,91,100,0.76,RU,1704766404
272,dwarka,22.2394,68.9678,293.63,45,0,8.69,IN,1704766405
273,saudarkrokur,65.7461,-19.6394,277.96,74,30,9.6,IS,1704766406
274,taozhuang,34.85,117.3333,277.94,72,52,1.67,CN,1704766407
275,tralee,52.2704,-9.7026,273.1,88,14,3.93,IE,1704766408
276,bubaque,11.2833,-15.8333,299.51,63,39,6.92,GW,1704766409
277,tsiombe,-25.3,45.4833,296.7,87,6,5.62,MG,1704766410
